tn_ved,country,country_sum_2022,period,country_sum_2021
"1603008000-Прочие экстракты и соки из мяса, рыбы или ракообразных, моллюсков или прочих водных беспозвоночных:",KZ-КАЗАХСТАН,116544.0,2022,0.0
"1604149000-Готовая или консервированная продукция из пеламиды (sarda spp.), целиком или в кусках, но не фаршированной",KZ-КАЗАХСТАН,240256.0,2022,0.0
1604180000-Готовые или консервированные плавники акульи,KZ-КАЗАХСТАН,117632.0,2022,0.0
"1604195000-Готовые продукты и консервы из рыбы вида orcinopsis unicolor целиком или в кусках, кроме фаршированных",KZ-КАЗАХСТАН,117504.0,2022,0.0
"1604199400-Готовая или консервированная продукция из мерлузы (merluccius spp.,urophycis spp.) и американсого нитеперого налима (urophycis spp.), целиком или в кусках, но не фаршированная",KZ-КАЗАХСТАН,117440.0,2022,0.0
1605620000-Морские ежи готовые или консервированные,KZ-КАЗАХСТАН,117632.0,2022,0.0
"1601001000-Готовые пищевые продукты, изготовленные из печени",AZ-АЗЕРБАЙДЖАН,0.0,2022,2998.98
"1601009100-Колбасы, сухие или пастообразные, cырые",AZ-АЗЕРБАЙДЖАН,435008.0,2022,436282.16
"1601009900-Прочие готовые пищевые продукты, изготовленные из мяса и мясных субпродуктов или крови",AZ-АЗЕРБАЙДЖАН,8285888.0,2022,4455296.94
"1602100010-Гомогенизированные готовые продукты из мяса, мясных субпродуктов или крови для детского питания",KZ-КАЗАХСТАН,605504.0,2022,508122.94
1602201000-Готовые или консервированные продукты из гусиной и утиной печени,VN-ВЬЕТНАМ,67136.0,2022,58130.8
"1602209000-Прочие готовые или консервированные, продукты из печени любых животных",UA-УКРАИНА,201472.0,2022,237811.25
"1602311900-Прочие готовые изделия и консервы, содержащие 57 мас.% или более мяса индейки",KZ-КАЗАХСТАН,341888.0,2022,17063.57
1602318000-Прочие готовые или консервированные продукты из индейки прочие,BY-БЕЛАРУСЬ,91648.0,2022,7189.14
"1602321100-Готовые или консервированные продукты из домашней птицы вида gallus domesticus, товарной позиции 0105, содержащие 57 мас.% или более сырого мяса домашней птицы или субпродуктов",KG-КЫРГЫЗСТАН,191744.0,2022,678813.62
"1602321900-Готовые или консервированные продукты из мяса домашней птицы вида gallus domesticus, товарной позиции 0105, содержащие 57 мас.% или более прочего мяса домашней птицы или субпродуктов",BY-БЕЛАРУСЬ,594176.0,2022,526801.75
"1602323000-Готовые или консервированные продукты из домашней птицы вида galus domesticus, товарной позиции 0105, содержащие 25 мас.% или более, но менее 57 мас.% мяса домашней птицы или субпродуктов",BY-БЕЛАРУСЬ,663232.0,2022,945400.7
"1602329000-Прочие готовые или консервированные продукты из мяса домашней птицы вида gallus domesticus, товарной позиции 0105",BY-БЕЛАРУСЬ,313728.0,2022,27961.87
"1602392900-Прочие готовые или консервированные продукты из домашней птицы. товарной позиции 0105, содержащие 57 мас.% или более прочего мяса домашней птицы или субпродуктов",UA-УКРАИНА,71936.0,2022,73911.83
"1602394000-Прочие готовые или консервированные продукты из домашней птицы товарной позиции 0105, содержащие 25% или более, но не менее 57% мяса домашней птицы или субпродуктов",AM-АРМЕНИЯ,159232.0,2022,0.0
1602398000-Прочие готовые или консервированные продукты из домашней птицы товарной позиции 0105,AM-АРМЕНИЯ,116544.0,2022,0.0
"1602398500-Прочие готовые или консервированные продукты из мяса, мясных",KZ-КАЗАХСТАН,283776.0,2022,15428.36
1602411000-Готовые или консервированные продукты из окорока и их отруба домашней свиньи,AM-АРМЕНИЯ,73152.0,2022,5180.0
1602421000-Готовые изделия и консервы из лопаточных частей и их отрубов домашней свиньи,KZ-КАЗАХСТАН,273280.0,2022,97.85
"1602491100-Изделия и консервы из филейных частей свиньи (исключая шейные части) и ихотруба, включая смеси филейных частей или окороков,содер 80 мас.% или более мяса люб.вида,включая жиры любого вида и происхожд.",KZ-КАЗАХСТАН,286272.0,2022,39237.8
"1602491300-Изделия и консервы из шейной части и ее отруба, включая смеси шейных лопаточных частей свиньи, содержащие 80 мас.% или более мяса или субпродуктов любого вида,включая жиры любого вида и происхождения",KZ-КАЗАХСТАН,320000.0,2022,426.18
"1602491500-Прочие изделия и консервы из смесей,содержащие окорока,лопаточные,филейные или шейные части и их отруба домашней свиньи,содерж 80 мас.% и более мяса или субпродуктов,включая жиры любого вида и происх.",KZ-КАЗАХСТАН,316224.0,2022,993.52
"1602491900-Прочие изделия и консервы из прочих смесей частей домашней свиньи, содержащие 80 мас.% мяса или субпродуктов, включая жиры любого вида и происхождения",BY-БЕЛАРУСЬ,302656.0,2022,161853.09
"1602493000-Прочие изделия и консервы из смесей частей свиньи, содержащие 40 мас.%и более,но менее 80 мас.% мяса или субпродуктов любого вида, включая жиры любого вида и происхождения",UA-УКРАИНА,125184.0,2022,182845.97
"1602495000-Прочие изделия и консервы из смесей частей домашней свиньи, содержащие менее 40 мас.% мяса или мясных субпродуктов любого вида, включая жиры любого вида и присхождения",UA-УКРАИНА,19840.0,2022,4773.89
1602499000-Прочие изделия и консервы из прочих смесей мяса свиньи и мясных субпродуктов,BY-БЕЛАРУСЬ,142464.0,2022,66922.0
"1602501000-Изделия и консервы, изготовленные из мяса крупного рогатого скота, смеси отварного мяса или субпродуктов и сырого мяса или субпродуктов",BY-БЕЛАРУСЬ,235328.0,2022,84226.66
"1602509501-Прочие готовые или консервированные продукты из мяса крупного рогатого скота, в герметичных контейнерах",UA-УКРАИНА,238656.0,2022,89916.42
1602509509-Прочие готовые или консервированные продукты из мяса крупного рогатого скота,KZ-КАЗАХСТАН,1701696.0,2022,976805.7
"1602905100-Прочие готовые и консервированные продукты из крови любых животных, содержащие мясо или мясные субпродукты из домашней свиньи",AB-АБХАЗИЯ,11968.0,2022,123.14
"1602906100-Прочие готовые и консервированные продукты питания, содержащие смеси из отварного мяса или субпродуктов и сырого мяса или субпродуктов крупного рогатого скота",KZ-КАЗАХСТАН,302976.0,2022,564.4
"1602906900-Прочие готовые и консервированные продукты из крови любых животных, содержащие прочее мясо крупного рогатого скота или субпродукты",AZ-АЗЕРБАЙДЖАН,0.0,2022,31912.39
"1602907600-Прочие, включая готовые продукты или консервы из крови баранины",AZ-АЗЕРБАЙДЖАН,0.0,2022,0.0
1602909100-Прочие готовые и консервированные продукты из крови баранины,AB-АБХАЗИЯ,42304.0,2022,0.0
"1602909900-Прочие, включая готовые продукты из крови любых животных прочие",BY-БЕЛАРУСЬ,104000.0,2022,6616.98
"1604110000-Готовые продукты и консервы из лосося, приготовленного целиком или в кусках, но не фаршированного",KZ-КАЗАХСТАН,245952.0,2022,22570.34
